原表序号,名称,位置,收录状态,合并后编号,审核说明,免费/付费,是否可过夜,是否可用卡式炉,是否有厕所,是否可开车直达,特色亮点,清洗后描述,原表完整描述,笔记1,笔记1关联,笔记2,笔记2关联,笔记3,笔记3关联,笔记1点赞,笔记1收藏,笔记1评论,总互动量,实拍图1,图片1审核,实拍图2,图片2审核,实拍图3,图片3审核,实拍图4,图片4审核,实拍图5,图片5审核,实拍图6,图片6审核,实拍图7,图片7审核,实拍图8,图片8审核,实拍图9,图片9审核
53,进贤村绅士溪水露营地,杭州余杭·径山进贤村,已合并,C174,同地点合并，逐字段采用通过检查的主数据,付费,未知,是,是,是,溪水、溪流、可看日落、可烧烤、可玩水、可溯溪、适合亲子,"进贤村绅士溪水露营地。可以溯溪, 可以捞鱼, 可以烧烤, 可以玩水。","进贤村绅士溪水露营地。可以溯溪, 可以捞鱼, 可以烧烤, 可以玩水。Tips: 浅滩玩水务必看好小朋友，带走所有垃圾无痕露营",https://www.xiaohongshu.com/explore/6a64490f000000000a0391f2,地点关联待核,https://www.xiaohongshu.com/explore/6a093429000000000702753d,地点关联待核,https://www.xiaohongshu.com/explore/69f4aa37000000001b02162f,地点关联待核,669,716,243,2968,https://img01.yzcdn.cn/upload_files/2026/09/14/llX9wEQhLWVacceohzAFdc9wizkF.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/ljr1wWKg60nvUKT8yLqhE4NrJKYH.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lgToDzhVm_c4CVf7vRYSQk0RAtqS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmMX5Evgg5ln3QatDehytVrGA0hr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmbAoT_OjROedkggBXeE9CfpHXax.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lh3pmeNAKdTc3npy-wYtBT3QvyZj.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lsXZkYHrURMShrya8yVpdRP79tVY.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/llSWk_H_0jdmLPMVfNOs_lw48lxS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lqHk2hiJrl9q0mrsVQYC-SyMj09d.png,existing
54,下溪村,龙岗屋角头，往水泥路一直开到底就可以到。,已合并,C002,同地点合并，逐字段采用通过检查的主数据,免费,是,是,是,是,河边、湖景、大草坪、山顶、可看星空、可烧烤、可溯溪、可桨板,"下溪村。环境安静。可以玩桨板, 可以烧烤, 可以溯溪。","下溪村，位于龙岗屋角头，往水泥路一直开到底就可以到。。环境安静。可以玩桨板, 可以烧烤, 可以溯溪",https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/69eefc81000000003601b053,地点关联待核,https://www.xiaohongshu.com/explore/69cb97fd00000000210045e8,地点关联待核,575,651,127,2911,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FrK-Rt-0aIiSY7TcD1H_8QTlqTOv.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FqpxVZXqEqXL6lhPJiMCUcOx5PKC.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FuqXMQIBNary06ZAJ_VUOtVN3-5P.png,exclude,,,,
55,萧山本地溪水露营地,杭州萧山,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,未知,是,是,是,溪水、溪流、水库、大草坪、可烧烤、可野炊、可钓鱼、可玩水,"萧山本地溪水露营地。可以溯溪, 可以钓鱼, 可以烧烤, 可以玩水。","萧山本地溪水露营地。可以溯溪, 可以钓鱼, 可以烧烤, 可以玩水。Tips: 1⃣可以免费停车，草坪旁边就是停车场，很方便。",https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,https://www.xiaohongshu.com/explore/69eefc81000000003601b053,地点关联待核,https://www.xiaohongshu.com/explore/6a093429000000000702753d,地点关联待核,430,508,58,2908,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lketcDCXBViS75SZ0FTSxX0FESLr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lv8yjtooVSyatQk_03_hYWsxjLO4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FhsOrnOnpI2Cq2qb3hUvdDdevkbv.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmbAoT_OjROedkggBXeE9CfpHXax.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lh3pmeNAKdTc3npy-wYtBT3QvyZj.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lsXZkYHrURMShrya8yVpdRP79tVY.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/llSWk_H_0jdmLPMVfNOs_lw48lxS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/Fnx174hWoKfTUjE-x_V7U64guSbf.png,exclude
56,周末露营好去处,云龙湾大桥附近#不过夜露营[话题]#  ，最后一张图是具体导航地址,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,是,是,是,河边、湖景、大草坪、可烧烤、可野炊、可钓鱼、可桨板、适合亲子,"周末露营好去处。适合拍照, 原生态。可以玩桨板, 可以钓鱼, 可以徒步, 可以烧烤。","周末露营好去处，位于云龙湾大桥附近#不过夜露营[话题]#  ，最后一张图是具体导航地址。适合拍照, 原生态。可以玩桨板, 可以钓鱼, 可以徒步, 可以烧烤",https://www.xiaohongshu.com/explore/67c41eab000000002902cae0,地点关联待核,https://www.xiaohongshu.com/explore/68dbb20e00000000040017b6,地点关联待核,https://www.xiaohongshu.com/explore/6a3f8eea0000000006035eea,地点关联待核,976,724,91,2904,https://img01.yzcdn.cn/upload_files/2026/09/22/lhwcW6T4vnR62KzxnCBQ26kZNiJO.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/loNJ1eAHKRNGl1-TMuR8_2Vez103.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ljwFct2B_5PGJgAdErhORrljjXDL.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ltkaW6zyaw-fzsrtQ1FCA121DuPM.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lplof5NOiHnFtvtOSL6JjjHLm3pA.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lmdqLizADGR__xAO-g2fKP8SdGJP.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liXB4IEsuMIPFHpwgdPXHl5M8rsn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liHe1_USz_ijN-2_-czXdkWBfysa.png,exclude,https://img01.yzcdn.cn/upload_files/2026/07/01/FpOSw2FyPr-Jy8F-sOTNyOt6NzAv.png,exclude
57,壶源溪·常安镇双坝,杭州富阳·壶源溪常安镇,待核,,现有来源为壶源溪钓点合集，仅提供钓鱼位置，缺少该地点独立露营依据。,未知,是,是,是,否,溪水、溪流、溪边、湖景、山顶、可看星空、可烧烤、可钓鱼,"壶源溪·常安镇双坝。人少小众。可以烧烤, 可以溯溪, 可以玩桨板, 可以钓鱼。","壶源溪·常安镇双坝。人少小众。可以烧烤, 可以溯溪, 可以玩桨板, 可以钓鱼",https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/6a093429000000000702753d,地点关联待核,https://www.xiaohongshu.com/explore/6a5b5539000000000401c910,地点关联待核,575,651,127,2900,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmbAoT_OjROedkggBXeE9CfpHXax.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lh3pmeNAKdTc3npy-wYtBT3QvyZj.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lsXZkYHrURMShrya8yVpdRP79tVY.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/llSWk_H_0jdmLPMVfNOs_lw48lxS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FrK-Rt-0aIiSY7TcD1H_8QTlqTOv.png,exclude
58,钱岸公园七堡艺文公园,杭州上城区·钱塘江边,已合并,C181,同地点合并，逐字段采用通过检查的主数据,免费,未知,是,是,是,河边、湖景、大草坪、树林、可烧烤、可钓鱼、适合亲子、可带宠物,"钱岸公园七堡艺文公园。小众, 适合拍照, 人少小众。可以骑行, 可以钓鱼, 可以捞鱼, 可以烧烤。","钱岸公园七堡艺文公园。小众, 适合拍照, 人少小众。可以骑行, 可以钓鱼, 可以捞鱼, 可以烧烤",https://www.xiaohongshu.com/explore/67c41eab000000002902cae0,地点关联待核,https://www.xiaohongshu.com/explore/69eb5c7d000000002202b4ea,地点关联已检查,https://www.xiaohongshu.com/explore/6a9f7dbe000000000d026191,地点关联待核,976,724,91,2894,https://img01.yzcdn.cn/upload_files/2026/09/14/lubkXkQ1XWBbeORwpreF4kFcRPi-.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lk---a3WPm-wehdKaJo0fdPrDZOM.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lkgpVK_wZs1ApPRhkvtlWXdy1Ge6.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/ljnzhBYG-9aeRo7oKcQvycYlYHDV.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lnZ6aqqx1toBUMMuxm4p6kNfbe3U.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lvYCV4rBot5sfOoJlO2xDJckEHRu.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/ln8xa3pVX-YUXhFr96X4ttXRW7Ta.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lkgsIj_CMTaoCjPf3Nv4c2PoOE32.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lkw7T_Mrh4FJqhLVwHSNU6fu-Y_I.png,exclude
59,杭州市内沿��免费露营地,杭州进贤村，导航（进贤村/绅士溪水露营地/绿景村村委）均可到达，地址好找（见尾图）,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,是,是,是,溪水、水库、大草坪、山顶、可烧烤、可野炊、可钓鱼、可玩水,"杭州市内沿��免费露营地。小众, 环境安静。可以钓鱼, 可以烧烤, 可以玩水。","杭州市内沿��免费露营地，位于富阳湘溪村。小众, 环境安静。可以钓鱼, 可以烧烤, 可以玩水。Tips: 1⃣可以免费停车，草坪旁边就是停车场，很方便。",https://www.xiaohongshu.com/explore/6a032d0a000000000702afc7,地点关联待核,https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,https://www.xiaohongshu.com/explore/69f1f63b000000003601b2ee,地点关联待核,420,457,171,2893,https://img01.yzcdn.cn/upload_files/2026/09/14/luI6knhzq5iikTgwsPR9w-OFO-8D.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/luo2nttus4IheGb0gc3PU35zVvSl.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/llnif-TCOOiS8VM7RAKAWuNDVsUM.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lr2S6RSXthqDIEYgYe-4sQX4o8m1.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lketcDCXBViS75SZ0FTSxX0FESLr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lv8yjtooVSyatQk_03_hYWsxjLO4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FhsOrnOnpI2Cq2qb3hUvdDdevkbv.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lh9eUy-wOmdFY2anamxNsglk3Zf6.png,existing
60,临安绝美溯溪露营地,杭州临安,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,未知,未知,未知,溪水、可玩水、可溯溪、可桨板,,,https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/6a093429000000000702753d,地点关联待核,https://www.xiaohongshu.com/explore/69cb97fd00000000210045e8,地点关联待核,575,651,127,2843,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmbAoT_OjROedkggBXeE9CfpHXax.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lh3pmeNAKdTc3npy-wYtBT3QvyZj.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lsXZkYHrURMShrya8yVpdRP79tVY.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/llSWk_H_0jdmLPMVfNOs_lw48lxS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FrK-Rt-0aIiSY7TcD1H_8QTlqTOv.png,exclude
61,富阳溪边露营玩水地,杭州富阳,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,付费（约338元）,未知,是,未知,未知,溪水、湖景、大草坪、可看日落、沙滩、可野炊、可玩水、可溯溪,"富阳溪边露营玩水地。野趣十足。可以溯溪, 可以捞鱼, 可以玩水。","富阳溪边露营玩水地。野趣十足。可以溯溪, 可以捞鱼, 可以玩水。Tips: 浅滩玩水务必看好小朋友，带走所有垃圾无痕露营",https://www.xiaohongshu.com/explore/6a64490f000000000a0391f2,地点关联待核,https://www.xiaohongshu.com/explore/610f5547000000002103927f,地点关联待核,https://www.xiaohongshu.com/explore/69c4d72f000000001d01f918,地点关联待核,669,716,243,2834,https://img01.yzcdn.cn/upload_files/2026/09/14/llX9wEQhLWVacceohzAFdc9wizkF.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/ljr1wWKg60nvUKT8yLqhE4NrJKYH.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lgToDzhVm_c4CVf7vRYSQk0RAtqS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmMX5Evgg5ln3QatDehytVrGA0hr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsC6D1jtaY55JZC2Cm8J4fAhVlRR.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lvYTbovM_FVmPbm5C85ATwyrjOe7.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lhx3anwSUsVZreGbaj5SvFS5ASBZ.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/ls2AnS5GgZlKNcpqmfgglH85Lpto.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/ljjQo6JrDbPZKI-cm5_D5O6lyp2_.png,exclude
62,壶源溪（双喜村）,杭州富阳·壶源溪,已合并,C138,同地点合并，逐字段采用通过检查的主数据,付费,是,是,是,是,溪水、溪流、溪边、湖景、山顶、可看星空、瀑布、竹林,"壶源溪（双喜村）。小众, 原生态。可以游泳, 可以烧烤, 可以溯溪, 可以玩桨板。","壶源溪（双喜村），位于石门村、龙上村。小众, 原生态。可以游泳, 可以烧烤, 可以溯溪, 可以玩桨板。Tips: 径山双溪沿线和进贤村几乎都是收费营地，适合轻装上阵，直接目的地租装备。",https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/6a124b2800000000060344d9,地点关联已检查,https://www.xiaohongshu.com/explore/69f4aa37000000001b02162f,地点关联已检查,575,651,127,2794,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lrOzpRw4sIxFUW18zsuidmiLVxAz.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/liO7JEKNuQCLFYr-H5iRyhT7rXGB.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lktIRw5BdRJvXJw9QYd8UIobc7z3.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsGkQ5MEhtz1M7K2CHdOq8idXw8B.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lqHk2hiJrl9q0mrsVQYC-SyMj09d.png,existing
63,苕溪-落塘埠,杭州余杭·苕溪,已合并,C017,同地点合并，逐字段采用通过检查的主数据,免费,是,是,是,是,溪水、溪边、湖景、大草坪、山顶、可看星空、可烧烤、可溯溪,"苕溪-落塘埠。可以玩桨板, 可以烧烤, 可以溯溪。","苕溪-落塘埠。可以玩桨板, 可以烧烤, 可以溯溪",https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/694fa7a8000000001f00c9db,地点关联已检查,https://www.xiaohongshu.com/explore/6aa895980000000026009728,地点关联待核,575,651,127,2790,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/loiL_E3cG4P1LGgoZoQIifvv85vn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsS3GiboLFXhlzeZQJJuW60Sa4F4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lv3R1QdPZV-8hij8dcFiKm3FlmoK.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmsJhfaxQVjwo-K6f9razTnatFvm.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FrK-Rt-0aIiSY7TcD1H_8QTlqTOv.png,exclude
64,杭州露营地（晒太阳）,杭州,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,未知,是,是,是,水库、大草坪、可烧烤、可野炊、可钓鱼、适合亲子,"杭州露营地（晒太阳）。适合拍照。可以骑行, 可以钓鱼, 可以烧烤。","杭州露营地（晒太阳）。适合拍照。可以骑行, 可以钓鱼, 可以烧烤。Tips: 1⃣可以免费停车，草坪旁边就是停车场，很方便。",https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,https://www.xiaohongshu.com/explore/694fa7a8000000001f00c9db,地点关联待核,https://www.xiaohongshu.com/explore/69eb5c7d000000002202b4ea,地点关联待核,430,508,58,2770,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lketcDCXBViS75SZ0FTSxX0FESLr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lv8yjtooVSyatQk_03_hYWsxjLO4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FhsOrnOnpI2Cq2qb3hUvdDdevkbv.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/loiL_E3cG4P1LGgoZoQIifvv85vn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsS3GiboLFXhlzeZQJJuW60Sa4F4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lv3R1QdPZV-8hij8dcFiKm3FlmoK.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmsJhfaxQVjwo-K6f9razTnatFvm.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lubkXkQ1XWBbeORwpreF4kFcRPi-.png,existing
65,杭州新晋露营地,杭州,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,是,是,是,水库、大草坪、可烧烤、可野炊、可钓鱼、适合亲子,"杭州新晋露营地。适合拍照。可以骑行, 可以钓鱼, 可以烧烤。","杭州新晋露营地。适合拍照。可以骑行, 可以钓鱼, 可以烧烤。Tips: 1⃣可以免费停车，草坪旁边就是停车场，很方便。",https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,https://www.xiaohongshu.com/explore/694fa7a8000000001f00c9db,地点关联待核,https://www.xiaohongshu.com/explore/69eb5c7d000000002202b4ea,地点关联待核,430,508,58,2770,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lketcDCXBViS75SZ0FTSxX0FESLr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lv8yjtooVSyatQk_03_hYWsxjLO4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FhsOrnOnpI2Cq2qb3hUvdDdevkbv.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/loiL_E3cG4P1LGgoZoQIifvv85vn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsS3GiboLFXhlzeZQJJuW60Sa4F4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lv3R1QdPZV-8hij8dcFiKm3FlmoK.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmsJhfaxQVjwo-K6f9razTnatFvm.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lubkXkQ1XWBbeORwpreF4kFcRPi-.png,existing
66,杭州采秋打板栗摘柿地,杭州周边,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,是,是,是,湖景、水库、大草坪、山顶、可看星空、可烧烤、可野炊、可钓鱼,"杭州采秋打板栗摘柿地。可以玩桨板, 可以钓鱼, 可以烧烤, 可以溯溪。","杭州采秋打板栗摘柿地。可以玩桨板, 可以钓鱼, 可以烧烤, 可以溯溪。Tips: 1⃣可以免费停车，草坪旁边就是停车场，很方便。",https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,https://www.xiaohongshu.com/explore/69f4aa37000000001b02162f,地点关联待核,575,651,127,2767,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lketcDCXBViS75SZ0FTSxX0FESLr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lv8yjtooVSyatQk_03_hYWsxjLO4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FhsOrnOnpI2Cq2qb3hUvdDdevkbv.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lqHk2hiJrl9q0mrsVQYC-SyMj09d.png,existing
67,富阳龙鳞坝（梅州驿站）,杭州富阳·龙鳞坝,已合并,C180,同地点合并，逐字段采用通过检查的主数据,未知,未知,是,是,是,溪水、溪流、可看日落、可烧烤、可玩水、可溯溪、适合亲子,"富阳龙鳞坝（梅州驿站）。可以溯溪, 可以捞鱼, 可以烧烤, 可以玩水。","富阳龙鳞坝（梅州驿站）。可以溯溪, 可以捞鱼, 可以烧烤, 可以玩水。Tips: 浅滩玩水务必看好小朋友，带走所有垃圾无痕露营",https://www.xiaohongshu.com/explore/6a64490f000000000a0391f2,地点关联待核,https://www.xiaohongshu.com/explore/6a093429000000000702753d,地点关联已检查,https://www.xiaohongshu.com/explore/69bc12a4000000001a0235a6,地点关联待核,669,716,243,2721,https://img01.yzcdn.cn/upload_files/2026/09/14/llX9wEQhLWVacceohzAFdc9wizkF.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/ljr1wWKg60nvUKT8yLqhE4NrJKYH.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lgToDzhVm_c4CVf7vRYSQk0RAtqS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmMX5Evgg5ln3QatDehytVrGA0hr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmbAoT_OjROedkggBXeE9CfpHXax.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lh3pmeNAKdTc3npy-wYtBT3QvyZj.png,existing,https://img01.yzcdn.cn/upload_files/2026/09/14/lsXZkYHrURMShrya8yVpdRP79tVY.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/llSWk_H_0jdmLPMVfNOs_lw48lxS.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsC6D1jtaY55JZC2Cm8J4fAhVlRR.png,exclude
