原表行号,序号,原名称,处理结果,地点ID,合并名称,说明
85,84,杨家村,合并已有地点,C038,杨家村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
86,85,麻车头,合并已有地点,C039,麻车头,名称及地址人工比对；保留原始表格行号，不据同名自动合并
87,86,太子尖星空营地,新增地点,C193,太子尖星空营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
88,87,建德沿江路线,待核实,,,沿江路线，非独立营地
89,88,杭州露营地（晒太阳）,待核实,,,缺少可定位名称
90,89,周末露营好去处,待核实,,,缺少可定位名称
91,90,湘湖房车露营,待核实,,,湘湖房车营地与沐心岛是否同一经营方待核
92,91,风之谷,待核实,,,风之谷与已有风之谷蓝色森林是否同一地点待核
93,92,阿里公园,合并已有地点,C004,阿里公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
94,93,青年林,合并已有地点,C010,青年林,名称及地址人工比对；保留原始表格行号，不据同名自动合并
95,94,富阳之江北公园,合并已有地点,C011,富阳之江北公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
96,95,城北体育公园,合并已有地点,C012,城北体育公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
97,96,白马湖公园,合并已有地点,C013,白马湖公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
98,97,铜鉴湖公园,合并已有地点,C014,铜鉴湖公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
99,98,壶源溪,待核实,,,壶源溪范围过大
100,99,出来玩户外组织,待核实,,,户外组织，非地点
101,100,江浙沪安全露营点,待核实,,,多地点合集，未提供地点名
102,101,安顶山,新增地点,C182,安顶山茶山,名称及地址人工比对；保留原始表格行号，不据同名自动合并
103,102,杭州江边免费露营地,待核实,,,缺少可定位名称
104,103,大鱼线宣王桥,合并已有地点,C028,宣王桥,名称及地址人工比对；保留原始表格行号，不据同名自动合并
105,104,有风营地,待核实,,,与已有有风营地名称相同但地址、价格不一致，待核身份
106,105,沐心岛,新增地点,C194,沐心岛,名称及地址人工比对；保留原始表格行号，不据同名自动合并
107,106,在山野·亚运村露营基地,新增地点,C195,在山野·亚运村露营基地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
108,107,杭钢隔壁免费公园,待核实,,,公园名称不明，不能合并到杭钢公园
109,108,新安江白沙奇雾驻车点,新增地点,C196,新安江白沙奇雾驻车点,名称及地址人工比对；保留原始表格行号，不据同名自动合并
110,109,杭州溯溪露营地,待核实,,,缺少可定位名称
111,110,孤山公园,合并已有地点,C083,孤山公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
112,111,千岛湖阳光路989停车场,新增地点,C197,千岛湖阳光路989停车场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
113,112,临安秘境溯溪营地,待核实,,,秘境宣传名，身份不明
114,113,杭州周边9个封神级露营地（图片合集）,待核实,,,多地点图片合集，未提供地点名
115,114,听潮音乐营地-木栖,新增地点,C198,听潮音乐营地-木栖,名称及地址人工比对；保留原始表格行号，不据同名自动合并
116,115,临安免费露营钓鱼宝地,待核实,,,缺少可定位名称
117,116,贝莱特庄园,新增地点,C199,贝莱特庄园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
118,117,河桥古镇溪滩,合并已有地点,C024,河桥古镇,名称及地址人工比对；保留原始表格行号，不据同名自动合并
119,118,雾凇谷,待核实,,,雾凇谷与已有雾松谷是否同一地点待核
120,119,牵牛岗,合并已有地点,C150,牵牛岗露营点,名称及地址人工比对；保留原始表格行号，不据同名自动合并
121,120,径山榉树林,合并已有地点,C035,榉树林地面停车场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
122,121,建德新安江绿道驿站,新增地点,C200,建德新安江绿道驿站,名称及地址人工比对；保留原始表格行号，不据同名自动合并
123,122,径山古道,新增地点,C201,径山古道,名称及地址人工比对；保留原始表格行号，不据同名自动合并
124,123,小古城村,新增地点,C202,小古城村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
125,124,长乐林场,新增地点,C203,长乐林场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
126,125,青山村,新增地点,C158,青山村露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
127,126,鸬鸟山,新增地点,C204,鸬鸟山,名称及地址人工比对；保留原始表格行号，不据同名自动合并
128,127,下陡门村,新增地点,C205,下陡门村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
129,128,良渚美丽洲公园,新增地点,C206,良渚美丽洲公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
130,129,山屿露营·大清谷店,新增地点,C207,山屿露营·大清谷店,名称及地址人工比对；保留原始表格行号，不据同名自动合并
131,130,建德李家镇塘底石窟水库,新增地点,C208,建德李家镇塘底石窟水库,名称及地址人工比对；保留原始表格行号，不据同名自动合并
132,131,萧山戴村溪水露营地,待核实,,,只定位到戴村
133,132,建德新安江柳杉林,待核实,,,沿江柳杉林与该笔记多个活动点的对应关系不明
134,133,石门村猷戏谷（大鱼线）,新增地点,C209,石门村猷戏谷（大鱼线）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
135,134,丁家岭,新增地点,C210,丁家岭,名称及地址人工比对；保留原始表格行号，不据同名自动合并
136,135,萧山本地溪水露营地,待核实,,,只定位到萧山
137,136,径山双溪绿道廊架,新增地点,C211,径山双溪绿道廊架,名称及地址人工比对；保留原始表格行号，不据同名自动合并
138,137,青年林（钱塘江水杉林）,合并已有地点,C010,青年林,名称及地址人工比对；保留原始表格行号，不据同名自动合并
139,138,湘湖沐心岛房车营地,新增地点,C194,沐心岛,名称及地址人工比对；保留原始表格行号，不据同名自动合并
140,139,开车直达露营玩水地,待核实,,,缺少可定位名称
141,140,余杭露营团建基地,待核实,,,缺少经营主体名称
142,141,进贤村,合并已有地点,C001,进贤村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
143,142,下溪村,合并已有地点,C002,下溪村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
144,143,南湖公园,合并已有地点,C003,余杭南湖公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
145,144,运河亚运公园,合并已有地点,C005,运河亚运公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
146,145,东湖公园,合并已有地点,C006,东湖公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
147,146,光明寺水库,合并已有地点,C007,光明寺水库,名称及地址人工比对；保留原始表格行号，不据同名自动合并
148,147,乌龟潭,合并已有地点,C008,乌龟潭,名称及地址人工比对；保留原始表格行号，不据同名自动合并
149,148,西溪湿地,合并已有地点,C009,西溪湿地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
150,149,松针露营地,待核实,,,松针描述可能并非营地专名
151,150,杭州市内沿��免费露营地,待核实,,,名称乱码且位置不明
152,151,jia宝自然农场,新增地点,C212,jia宝自然农场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
153,152,杭州小众观星露营地,待核实,,,缺少可定位名称
154,153,北塘河草坪,新增地点,C213,北塘河草坪,名称及地址人工比对；保留原始表格行号，不据同名自动合并
155,154,燕燕推荐露营地,待核实,,,作者推荐名，非地点名
156,155,杭州近郊桨板河边露营地,待核实,,,缺少可定位名称
157,156,杭州户外露营烧烤宝藏地,待核实,,,缺少可定位名称
158,157,良渚美丽洲,新增地点,C206,良渚美丽洲公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
159,158,溪畔营地,待核实,,,溪畔营地名称泛化，身份待核
160,159,西��源谷,合并已有地点,C057,西溪源谷,名称及地址人工比对；保留原始表格行号，不据同名自动合并
161,160,考拉营地（皋亭山）,合并已有地点,C058,皋亭山考拉营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
162,161,富阳云海营地,合并已有地点,C059,富阳云海营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
163,162,小古城苕溪营地,合并已有地点,C060,小古城苕溪营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
164,163,日回山,新增地点,C214,日回山,名称及地址人工比对；保留原始表格行号，不据同名自动合并
165,164,建德下涯之江村山风农场,新增地点,C157,建德之江山风农场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
166,165,溪边营地,待核实,,,溪边营地名称泛化，身份待核
167,166,杭州采秋打板栗摘柿地,待核实,,,采摘合集，地点不明
168,167,市区宝藏营地,待核实,,,缺少可定位名称
169,168,龙尾巴山塘水库,新增地点,C215,龙尾巴山塘水库,名称及地址人工比对；保留原始表格行号，不据同名自动合并
170,169,舒服露营地,待核实,,,缺少可定位名称
171,170,临安小众临水石滩,待核实,,,缺少可定位名称
172,171,富阳露营地,待核实,,,只定位到富阳
173,172,湘湖,合并已有地点,C104,湘湖,名称及地址人工比对；保留原始表格行号，不据同名自动合并
174,173,萧山免费滑草露营地,待核实,,,缺少可定位名称
175,174,杭州车床露营一线风景地,待核实,,,缺少可定位名称
176,175,二刷营地,待核实,,,缺少可定位名称
177,176,曲院风荷西湖边露营,新增地点,C172,曲院风荷,名称及地址人工比对；保留原始表格行号，不据同名自动合并
178,177,杭州免费过夜露营地,待核实,,,缺少可定位名称
179,178,临安绝美溯溪露营地,待核实,,,缺少可定位名称
180,179,杭州免费过夜露营地（配��完善）,待核实,,,名称乱码且位置不明
181,180,杭州新晋露营地,待核实,,,缺少可定位名称
182,181,钱塘江边宝藏露营地,待核实,,,缺少可定位名称
183,182,径山新开帐篷烧烤营地,待核实,,,缺少经营主体名称
184,183,太子尖高山露营地,待核实,,,太子尖高山营地与太子尖星空营地是否同一经营方待核
185,184,杭钢公园隔壁免费公园,待核实,,,公园名称不明，保留同笔记补充信息
186,185,西湖孤山公园（鲁迅铜像前草坪）,合并已有地点,C083,孤山公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
187,186,听潮音乐营地（萧山溯溪露营地）,新增地点,C198,听潮音乐营地-木栖,名称及地址人工比对；保留原始表格行号，不据同名自动合并
188,187,临安免费露营钓鱼营地,待核实,,,缺少可定位名称
189,188,大明山牵牛岗,合并已有地点,C150,牵牛岗露营点,名称及地址人工比对；保留原始表格行号，不据同名自动合并
190,189,建德李家镇塘底水库（金鱼秘境）,新增地点,C208,建德李家镇塘底石窟水库,名称及地址人工比对；保留原始表格行号，不据同名自动合并
191,190,建德之江村（车中泊点）,新增地点,C216,建德之江村（车中泊点）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
192,191,建德夏日冬泳基地,新增地点,C217,建德夏日冬泳基地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
193,192,临安大鱼线石门村猷戏谷,新增地点,C209,石门村猷戏谷（大鱼线）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
194,193,桐庐丁家岭,新增地点,C210,丁家岭,名称及地址人工比对；保留原始表格行号，不据同名自动合并
195,194,径山双溪绿道,新增地点,C211,径山双溪绿道廊架,名称及地址人工比对；保留原始表格行号，不据同名自动合并
196,195,钱塘区青年林（水杉林）,合并已有地点,C010,青年林,名称及地址人工比对；保留原始表格行号，不据同名自动合并
197,196,湘湖沐心岛房车露营,新增地点,C194,沐心岛,名称及地址人工比对；保留原始表格行号，不据同名自动合并
198,197,杭州SUV直达露营玩水地,待核实,,,具体地点仅在图片中，尚未核对
199,198,有风营地（水库边）,合并已有地点,C143,有风营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
200,199,余杭半山竹林露营地（团建）,待核实,,,缺少经营主体名称
201,200,南湖公园（余杭）,合并已有地点,C003,余杭南湖公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
